Aglomeración;SC Función ciudades;Departamento;Municipio;Divipola;AÑO;Personas;Hectareas;,,
Fuera SC;Fuera SC;25;Anapoima;25035;2018;13928;2690,948278;,
Fuera SC;Fuera SC;25;Anolaima;25040;2018;11998;2432,166344;,
Fuera SC;Fuera SC;25;Arbelaez;25053;2018;12412;3450,44371;,
Fuera SC;Fuera SC;25;Beltran;25086;2018;2281;9039,120753;,
Fuera SC;Fuera SC;25;Bituima;25095;2018;2480;95,442825;,
A-Bogota;En aglomeracion;25;Bojaca;25099;2018;12448;2722,09014;,
Fuera SC;Fuera SC;25;Cabrera;25120;2018;4434;30003,10782;,
Fuera SC;Fuera SC;25;Cachipay;25123;2018;9765;641,439054;,
A-Bogota;En aglomeracion;25;Cajica;25126;2018;60379;104,407346;,
Fuera SC;Fuera SC;25;Caparrapi;25148;2018;16732;8815,737437;,
Fuera SC;Fuera SC;25;Caqueza;25151;2018;17303;176,812085;,
Fuera SC;Fuera SC;25;Carmen de Carupa;25154;2018;9366;16107,98863;,
Fuera SC;Fuera SC;25;Chaguani;25168;2018;3962;1123,948166;,
A-Bogota;En aglomeracion;25;Chia;25175;2018;135752;581,049988;,
Fuera SC;Fuera SC;25;Chipaque;25178;2018;8401;5865,683189;,
Fuera SC;Fuera SC;25;Choachi;25181;2018;10553;8119,826059;,
Fuera SC;Fuera SC;25;Choconta;25183;2018;27238;6629,759021;,
A-Bogota;En aglomeracion;25;Cogua;25200;2018;23654;5138,543185;,
A-Bogota;En aglomeracion;25;Cota;25214;2018;26463;261,567377;,
Fuera SC;Fuera SC;25;Cucunuba;25224;2018;7589;1319,805952;,
Fuera SC;Fuera SC;25;El Colegio;25245;2018;22163;2099,645132;,
Fuera SC;Fuera SC;25;El Peñon;25258;2018;4775;2616,592951;,
Fuera SC;Fuera SC;25;El Rosal;25260;2018;18440;146,896631;,
A-Bogota;En aglomeracion;25;Facatativa;25269;2018;139364;1649,161358;,
Fuera SC;Fuera SC;25;Fomeque;25279;2018;12228;30531,59765;,
Fuera SC;Fuera SC;25;Fosca;25281;2018;7852;2831,365194;,
A-Bogota;En aglomeracion;25;Funza;25286;2018;79545;1053,408299;,
Fuera SC;Fuera SC;25;Fuquene;25288;2018;5780;1992,278054;,
SA-Otros SC;Uninodal;25;Fusagasuga;25290;2018;142426;1415,442778;,
Fuera SC;Fuera SC;25;Gachala;25293;2018;5674;24843,70147;,
A-Bogota;En aglomeracion;25;Gachancipa;25295;2018;15632;325,21412;,
Fuera SC;Fuera SC;25;Gacheta;25297;2018;11310;7124,140064;,
Fuera SC;Fuera SC;25;Gama;25299;2018;4045;4503,795919;,
A-Girardot;Centro aglomeracion;25;Girardot;25307;2018;106818;1425,422171;,
Fuera SC;Fuera SC;25;Granada;25312;2018;9253;764,314144;,
Fuera SC;Fuera SC;25;Guacheta;25317;2018;11348;2644,528967;,
Fuera SC;Fuera SC;25;Guaduas;25320;2018;40446;11984,80063;,
Fuera SC;Fuera SC;25;Guasca;25322;2018;15478;21161,1328;,
Fuera SC;Fuera SC;25;Guataqui;25324;2018;2689;3349,755445;,
A-Bogota;En aglomeracion;25;Guatavita;25326;2018;6958;13808,90399;,
Fuera SC;Fuera SC;25;Guayabal de Siquima;25328;2018;3659;192,877259;,
Fuera SC;Fuera SC;25;Guayabetal;25335;2018;4989;12948,59427;,
Fuera SC;Fuera SC;25;Gutierrez;25339;2018;4312;30468,45571;,
Fuera SC;Fuera SC;25;Jerusalen;25368;2018;2664;2323,739519;,
Fuera SC;Fuera SC;25;Junin;25372;2018;8701;15412,63897;,
A-Bogota;En aglomeracion;25;La Calera;25377;2018;28568;9140,438605;,
Fuera SC;Fuera SC;25;La Mesa;25386;2018;32771;2610,589122;,
Fuera SC;Fuera SC;25;La Palma;25394;2018;11012;3998,331244;,
Fuera SC;Fuera SC;25;La Peña;25398;2018;7046;1324,209536;,
Fuera SC;Fuera SC;25;La Vega;25402;2018;14489;3879,625317;,
Fuera SC;Fuera SC;25;Lenguazaque;25407;2018;10394;1813,559189;,
Fuera SC;Fuera SC;25;Macheta;25426;2018;6178;9015,293134;,
A-Bogota;En aglomeracion;25;Madrid;25430;2018;82118;468,170159;,
Fuera SC;Fuera SC;25;Manta;25436;2018;4769;1437,436226;,
Fuera SC;Fuera SC;25;Medina;25438;2018;10183;46647,14996;,
A-Bogota;En aglomeracion;25;Mosquera;25473;2018;89108;871,027158;,
Fuera SC;Fuera SC;25;52;25483;2018;2249;1002,380725;,
A-Bogota;En aglomeracion;25;Nemocon;25486;2018;14137;405,591927;,
Fuera SC;Fuera SC;25;Nilo;25488;2018;19828;2315,007981;,
Fuera SC;Fuera SC;25;Nimaima;25489;2018;7074;1204,858872;,
Fuera SC;Fuera SC;25;Nocaima;25491;2018;8157;506,768602;,
Fuera SC;Fuera SC;25;Venecia;25506;2018;4084;6816,114715;,
Fuera SC;Fuera SC;25;Pacho;25513;2018;27780;6047,283176;,
Fuera SC;Fuera SC;25;Paime;25518;2018;4255;5440,367542;,
Fuera SC;Fuera SC;25;Pandi;25524;2018;5717;1053,068764;,
