Aglomeración;SC Función ciudades;Departamento;Municipio;Divipola;AÑO;Personas;Hectareas;,,
Fuera SC;Fuera SC;52;El Charco;52250;2018;41042;222766,9658;,
Fuera SC;Fuera SC;52;El Peñol;52254;2018;6383;803,683666;,
Fuera SC;Fuera SC;52;El Rosario;52256;2018;9801;36115,80345;,
Fuera SC;Fuera SC;52;El Tablon de Gomez;52258;2018;12388;14851,41812;,
Fuera SC;Fuera SC;52;El Tambo;52260;2018;11720;3566,724064;,
Fuera SC;Fuera SC;52;Funes;52287;2018;6354;28000,81385;,
Fuera SC;Fuera SC;52;Guachucal;52317;2018;15269;4434,90976;,
Fuera SC;Fuera SC;52;Guaitarilla;52320;2018;11508;431,173823;,
Fuera SC;Fuera SC;52;Gualmatan;52323;2018;5782;953,208753;,
Fuera SC;Fuera SC;52;Iles;52352;2018;8956;1195,38084;,
Fuera SC;Fuera SC;52;Imues;52354;2018;5902;77,243789;,
